id,poi shape,poi_type,coordinate
5588,Polygon,park," 19.1442688, 47.4602146 "
5589,Polygon,pitch," 19.1440321, 47.4612578 "
5591,Polygon,pitch," 18.9864569, 47.4755276 "
5592,Polygon,garden," 19.1147998, 47.4850081 "
5593,Polygon,garden," 19.1147394, 47.485023 "
5594,Polygon,garden," 19.1146777, 47.4850402 "
5595,Polygon,garden," 19.1146154, 47.4850556 "
5596,Polygon,garden," 19.114553, 47.4850706 "
5597,Polygon,garden," 19.1144926, 47.4850874 "
5598,Polygon,garden," 19.1140045, 47.4852124 "
5599,Polygon,garden," 19.1139428, 47.4852297 "
5600,Polygon,garden," 19.1138791, 47.485246 "
5601,Polygon,garden," 19.1138194, 47.4852605 "
5602,Polygon,garden," 19.1137571, 47.4852768 "
5603,Polygon,garden," 19.1136944, 47.4852926 "
5604,Polygon,park," 19.1166956, 47.415445 "
5607,Polygon,park," 19.1294154, 47.4251621 "
