id,poi shape,poi type,coordinate
2748,Point,bus_stop," 18.8756215, 47.3719453 "
2749,Point,bus_stop," 18.9354652, 47.3278284 "
2750,Point,bus_stop," 18.9099125, 47.3755423 "
2751,Point,bus_stop," 18.8686646, 47.3672945 "
2752,Point,bus_stop," 18.9165796, 47.375664 "
2753,Point,bus_stop," 18.9180785, 47.3759286 "
2754,Point,bus_stop," 18.9149821, 47.3338548 "
2756,Point,bus_stop," 18.9122462, 47.3243687 "
2757,Point,bus_stop," 18.9367042, 47.3578295 "
2758,Point,bus_stop," 18.8723354, 47.3685075 "
2759,Point,bus_stop," 18.9180762, 47.3760883 "
2760,Point,bus_stop," 18.9339773, 47.3587843 "
2761,Point,bus_stop," 18.9202917, 47.3248009 "
2762,Point,bus_stop," 18.8749202, 47.371517 "
2763,Point,bus_stop," 18.9422421, 47.3309644 "
2764,Point,bus_stop," 18.8719066, 47.3687775 "
2765,Point,bus_stop," 18.9150443, 47.3706375 "
2766,Point,bus_stop," 18.9206411, 47.3731835 "
2767,Point,bus_stop," 18.9091462, 47.3228331 "
2768,Point,bus_stop," 18.8664433, 47.3734305 "
2769,Point,bus_stop," 18.9384551, 47.3313232 "
2770,Point,bus_stop," 18.9383296, 47.3609176 "
2771,Point,bus_stop," 18.8748092, 47.366133 "
2772,Point,bus_stop," 18.9110202, 47.3633285 "
2773,Point,bus_stop," 18.9359184, 47.3577783 "
2774,Point,bus_stop," 18.921361, 47.3248284 "
2775,Point,bus_stop," 18.8669248, 47.3728901 "
2776,Point,bus_stop," 18.9450264, 47.3334661 "
2777,Point,bus_stop," 18.8900621, 47.3709442 "
2778,Point,bus_stop," 18.9148136, 47.3695354 "
2779,Point,bus_stop," 18.9207165, 47.3728385 "
2780,Point,bus_stop," 18.9215199, 47.327906 "
2782,Point,bus_stop," 18.9099564, 47.3223932 "
2783,Point,bus_stop," 18.8628751, 47.3763194 "
2784,Point,bus_stop," 18.9364564, 47.3314754 "
2785,Point,bus_stop," 18.9469642, 47.3356569 "
2786,Point,bus_stop," 18.9113186, 47.3634827 "
2787,Point,bus_stop," 18.9246767, 47.3681757 "
2788,Point,bus_stop," 18.9205477, 47.3286242 "
2789,Point,bus_stop," 18.8847873, 47.3696084 "
