,price_per_sqm,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
1868,13.0952381,2.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,1,19.0660395,47.505923200000005,1868,0
1915,8.4,3.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0,19.0816288,47.50551110000001,1915,1
1921,7.810526316,3.0,2.0,0.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.02606611,47.50521934,1921,1
1933,6.831168831,2.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0791943,47.4894083,1933,1
1934,7.483870968,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.063251899999997,47.506837299999994,1934,1
1938,14.37209302,2.0,2.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.059561600000002,47.490774,1938,0
1952,9.094117647000001,3.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.05566,47.5074852,1952,4
1984,10.57894737,3.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.076710600000002,47.494843700000004,1984,4
1990,13.25714286,1.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,19.0598521,47.489214700000005,1990,0
2018,18.0,2.0,3.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2018,6
2048,13.12121212,1.0,3.0,1.0,1.0,0,0,0.0,1.0,1.0,1,0,1,0.0,0.0,0.0,0.0,1,19.0670591,47.512111,2048,0
2054,12.5,4.0,2.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.04886232,47.51442652,2054,0
2079,20.0,1.0,4.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2079,6
