ID,poi shape,poi_type,coordinate,longitude,latitude
1363,Point,information," 18.9869224, 47.4362364 ",18.9869224,47.4362364
1364,Point,information," 18.9826267, 47.4321077 ",18.9826267,47.4321077
1365,Point,information," 18.9822502, 47.4368198 ",18.9822502,47.4368198
1366,Point,information," 18.9845005, 47.4343628 ",18.9845005,47.4343628
1367,Point,information," 18.9833845, 47.4330126 ",18.9833845,47.4330126
1368,Point,information," 18.982038, 47.4302358 ",18.982038,47.4302358
1369,Point,information," 18.9864453, 47.432794 ",18.9864453,47.432794
1370,Point,information," 19.0664781, 47.5036996 ",19.0664781,47.5036996
1371,Point,information," 19.0668601, 47.5041313 ",19.0668601,47.5041313
1372,Point,information," 19.0669853, 47.5042022 ",19.0669853,47.5042022
1373,Point,information," 19.0671302, 47.5040881 ",19.0671302,47.5040881
1374,Point,information," 19.0679967, 47.504797 ",19.0679967,47.504797
1375,Point,information," 19.068251, 47.5049366 ",19.068251,47.5049366
1376,Point,information," 19.0714425, 47.5068777 ",19.0714425,47.5068777
1377,Point,information," 19.072598, 47.5077803 ",19.072598,47.5077803
1378,Point,information," 19.0726552, 47.5078052 ",19.0726552,47.5078052
1379,Point,information," 19.0733083, 47.5074588 ",19.0733083,47.5074588
1380,Point,information," 19.0587083, 47.497662 ",19.0587083,47.497662
1382,Point,information," 19.0604035, 47.498464 ",19.0604035,47.498464
1383,Point,information," 19.0604928, 47.4984058 ",19.0604928,47.4984058
1384,Point,information," 19.0600699, 47.4986844 ",19.0600699,47.4986844
1385,Point,information," 19.060371, 47.4998204 ",19.060371,47.4998204
1386,Point,information," 19.0606628, 47.4995414 ",19.0606628,47.4995414
1387,Point,information," 19.0624821, 47.5020497 ",19.0624821,47.5020497
1393,Point,information," 19.0625044, 47.5016963 ",19.0625044,47.5016963
1394,Point,information," 19.0640974, 47.5015138 ",19.0640974,47.5015138
1395,Point,information," 19.0634713, 47.5009092 ",19.0634713,47.5009092
1396,Point,information," 19.0660237, 47.50137 ",19.0660237,47.50137
1397,Point,information," 19.0628929, 47.5026503 ",19.0628929,47.5026503
1398,Point,information," 19.0714857, 47.5038722 ",19.0714857,47.5038722
1399,Point,information," 19.0659827, 47.5028158 ",19.0659827,47.5028158
1405,Point,information," 19.0443241, 47.573262 ",19.0443241,47.573262
1406,Point,information," 19.0843539, 47.6189526 ",19.0843539,47.6189526
1407,Point,information," 19.0824366, 47.6174621 ",19.0824366,47.6174621
1410,Point,information," 19.0611364, 47.4917806 ",19.0611364,47.4917806
1411,Point,information," 19.0613142, 47.4913226 ",19.0613142,47.4913226
1412,Point,information," 19.0597253, 47.4933154 ",19.0597253,47.4933154
1413,Point,information," 19.0601838, 47.492786 ",19.0601838,47.492786
1429,Point,information," 19.2884649, 47.4211134 ",19.2884649,47.4211134
1437,Point,information," 19.3226279, 47.5966798 ",19.3226279,47.5966798
1441,Point,information," 18.9274476, 47.5612929 ",18.9274476,47.5612929
1443,Point,information," 18.9635218, 47.497495 ",18.9635218,47.497495
1444,Point,information," 18.9638605, 47.4975206 ",18.9638605,47.4975206
1445,Point,information," 18.964436, 47.5100958 ",18.964436,47.5100958
1447,Point,information," 18.9670565, 47.5033037 ",18.9670565,47.5033037
1449,Point,information," 18.9680232, 47.5117553 ",18.9680232,47.5117553
1452,Point,information," 18.957905, 47.5114825 ",18.957905,47.5114825
1453,Point,information," 18.9583549, 47.5122805 ",18.9583549,47.5122805
1454,Point,information," 18.9602993, 47.516405 ",18.9602993,47.516405
1455,Point,information," 18.9583091, 47.5188843 ",18.9583091,47.5188843
1456,Point,information," 18.9538795, 47.5215083 ",18.9538795,47.5215083
1457,Point,information," 18.9586356, 47.5128855 ",18.9586356,47.5128855
1458,Point,information," 18.9584447, 47.5125789 ",18.9584447,47.5125789
1459,Point,information," 18.9591718, 47.513275 ",18.9591718,47.513275
1461,Point,information," 18.9638175, 47.5037041 ",18.9638175,47.5037041
1463,Point,information," 18.9605228, 47.5066571 ",18.9605228,47.5066571
1466,Point,information," 18.9399301, 47.5427334 ",18.9399301,47.5427334
1467,Point,information," 18.9423214, 47.54217 ",18.9423214,47.54217
1468,Point,information," 18.9400701, 47.5439772 ",18.9400701,47.5439772
1476,Point,information," 19.0924935, 47.4817964 ",19.0924935,47.4817964
1477,Point,information," 18.8794903, 47.5757642 ",18.8794903,47.5757642
1481,Point,information," 18.9123358, 47.4256233 ",18.9123358,47.4256233
1489,Point,information," 18.925432, 47.4359306 ",18.925432,47.4359306
1490,Point,information," 18.9247953, 47.4366908 ",18.9247953,47.4366908
1492,Point,information," 18.9116457, 47.4254278 ",18.9116457,47.4254278
1499,Point,information," 18.8689243, 47.529837 ",18.8689243,47.529837
1513,Point,information," 18.948891, 47.4088334 ",18.948891,47.4088334
1514,Point,information," 18.9368685, 47.4111565 ",18.9368685,47.4111565
1515,Point,information," 18.932396, 47.4139043 ",18.932396,47.4139043
1516,Point,information," 18.9341855, 47.4122249 ",18.9341855,47.4122249
1523,Point,information," 18.974371, 47.6389385 ",18.974371,47.6389385
1524,Point,information," 18.9748348, 47.6370896 ",18.9748348,47.6370896
1525,Point,information," 18.9770479, 47.6267812 ",18.9770479,47.6267812
1530,Point,information," 19.0074224, 47.6108328 ",19.0074224,47.6108328
1531,Point,information," 19.0074503, 47.6108173 ",19.0074503,47.6108173
1532,Point,information," 19.0104847, 47.6096423 ",19.0104847,47.6096423
1533,Point,information," 18.9982466, 47.6144766 ",18.9982466,47.6144766
1537,Point,information," 19.0601629, 47.4928906 ",19.0601629,47.4928906
1538,Point,information," 19.1517326, 47.5429152 ",19.1517326,47.5429152
1539,Point,information," 19.1510177, 47.5432452 ",19.1510177,47.5432452
1540,Point,information," 19.1502613, 47.5437239 ",19.1502613,47.5437239
1541,Point,information," 19.149226, 47.544255 ",19.149226,47.544255
1542,Point,information," 19.148778, 47.544946 ",19.148778,47.544946
1543,Point,information," 19.1491608, 47.5452369 ",19.1491608,47.5452369
1544,Point,information," 19.1496335, 47.5449444 ",19.1496335,47.5449444
1545,Point,information," 19.1494651, 47.545117 ",19.1494651,47.545117
1546,Point,information," 19.1489918, 47.545301 ",19.1489918,47.545301
1547,Point,information," 19.1490568, 47.5443719 ",19.1490568,47.5443719
1548,Point,information," 19.1503914, 47.5436508 ",19.1503914,47.5436508
1549,Point,information," 19.1471424, 47.5450894 ",19.1471424,47.5450894
