id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
1050,8.967741935,1,2,0,1,19.0575969,47.5038238,VI,1,,street,,0,0
1051,6.661538462,1,2,0,1,19.0720887,47.4944164,VIII,1,,street,,0,0
1056,5.911764706,1,3,0,1,19.057377,47.588619,III,1,,street,,0,0
1076,7.083333333,1,1,0,1,19.0917436,47.5415765,XIII,1,,street,,0,0
1082,5.285714286,1,1,0,0.5,19.0683298,47.5366395,XIII,0,,,,0,0
1083,8,1,2,0,2,19.0325807,47.4636718,XI,0,,street,,0,0
1089,8.828571429,1,1,0,2,19.0596086,47.5212672,XIII,0,0,street,,0,0
1092,9.030769231,1,2,1,1,19.0535863,47.5149964,XIII,0,,street,,0,0
1095,7.391304348,1,4,0,2,19.0633949,47.5023351,VII,1,,street,,0,0
1097,8.270676692,1,3,1,4,19.0514315,47.5101381,V,1,,street,,0,0
1101,8.992805755,1,4,0,2,19.0697088,47.4875996,VIII,1,,street,floor,0,0
1105,8.516483516,1,3,0,4,19.0726499,47.482725,IX,1,,street,,0,0
1110,9.405797101,1,2,1,1,19.0499197,47.5128982,XIII,1,,street,,0,0
1114,8.872340426,1,1,1,3,19.0660395,47.5059232,VI,1,,,,0,0
1116,8.754716981,1,1,2,0.5,19.0337667,47.4461891,XI,1,,street,,0,0
1119,8.176470588,1,1,0,1,19.0554952,47.5231764,XIII,0,,street,,0,0
1120,7.887755102,1,3,1,2,19.0518555,47.51886,XIII,1,,street,,0,0
1122,8.992805755,1,4,0,2,19.0697088,47.4875996,VIII,1,,panoramic,floor,0,0
1124,6.8,1,2,0,2,19.1638002,47.4680268,X,0,,,,0,0
1125,8.169811321,1,2,0,4,19.09197,47.50386,XIV,0,,,,0,0
1126,8.169811321,1,2,0,4,19.0899847,47.5042037,XIV,0,,,,0,0
1127,8.169811321,1,1,2,4,19.0976582,47.5105004,XIV,0,,,,0,0
1130,8,1,2,0,1,19.1353998,47.5181489,XIV,1,,street,gas,1,0
1138,7.555555556,1,1,1,3,19.0859818,47.5703627,IV,0,,garden,,0,0
1139,0.085714286,1,1,0,0,19.1411351,47.4374897,XX,1,,,,0,0
1144,7.872727273,1,1,1,1,19.1106933,47.4637692,IX,1,,garden,,0,0
1148,8.285714286,1,2,0,3,19.0593242,47.5236573,XIII,1,,street,,0,0
1153,8.04,1,1,1,2,19.090429,47.48493,VIII,0,,street,,0,0
1162,9,1,2,0,3,19.0475225,47.4721053,XI,1,,street,,0,0
1171,6.396551724,1,3,1,4,19.0481909,47.5106296,V,1,,street,,0,0
1173,9.171875,1,2,0,0,19.0514315,47.5101381,V,0,,street,,0,0
1177,8.967741935,1,3,0,0,19.0321287,47.4778304,XI,0,,street,,0,0
1183,8.5,1,2,0,0.5,19.0072867,47.4739543,XI,1,,garden,,0,0
1184,7.98,1,1,1,2,19.1593487,47.4777177,X,1,,,,0,0
1185,8.233333333,1,1,0,3,19.090811,47.4873094,VIII,1,,,,0,0
1188,7.730769231,1,1,1,1,19.0691392,47.5064657,VI,1,,street,,0,0
1193,8.510204082,1,2,0,4,19.0919058,47.5800334,IV,0,,street,,0,0
1197,4.276923077,1,2,1,0,19.070893,47.4783878,IX,1,,street,,0,0
1198,6.724637681,1,2,0,1.5,19.0723325,47.4817937,IX,1,,garden,,0,0
1200,9.519230769,1,2,0,3,19.0904773,47.5350959,XIII,1,,street,,1,0
1205,6.628571429,1,2,0,4,19.0709266,47.5355105,XIII,1,1,street,,0,0
1208,7.872727273,1,2,0,0,19.0259651,47.4750937,XI,0,,,,0,0
1211,7.391304348,1,3,0,0.5,19.0324899,47.5108209,II,1,,street,,0,0
