,poi shape,poi type,coordinate
5521,Point,bus_stop,"[19.2079867, 47.6034617]"
5522,Point,bus_stop,"[19.1930092, 47.6097043]"
5523,Point,bus_stop,"[19.1883958, 47.6220137]"
5524,Point,bus_stop,"[19.1959489, 47.6138343]"
5525,Point,bus_stop,"[19.1827739, 47.6117006]"
5526,Point,bus_stop,"[19.1749633, 47.6325849]"
5527,Point,bus_stop,"[19.1759504, 47.6313414]"
5528,Point,bus_stop,"[19.1800273, 47.6128579]"
5529,Point,bus_stop,"[19.1835893, 47.6336116]"
5530,Point,bus_stop,"[19.1853918, 47.6247615]"
5531,Point,bus_stop,"[19.2084695, 47.6093788]"
5532,Point,bus_stop,"[19.179963, 47.6369083]"
5533,Point,bus_stop,"[19.1794694, 47.6289264]"
5534,Point,bus_stop,"[19.1980237, 47.6068603]"
5535,Point,bus_stop,"[19.1955734, 47.6175589]"
5536,Point,bus_stop,"[19.1968185, 47.614854]"
5537,Point,bus_stop,"[19.1830743, 47.626468]"
5538,Point,bus_stop,"[19.183246, 47.6258317]"
5539,Point,bus_stop,"[19.183761, 47.6197719]"
5540,Point,bus_stop,"[19.1792345, 47.6229834]"
5541,Point,bus_stop,"[19.2026652, 47.611339]"
5542,Point,bus_stop,"[19.1873873, 47.6174287]"
5543,Point,bus_stop,"[19.1913785, 47.6194537]"
5544,Point,platform,"[19.0614119, 47.4230735]"
5545,Point,platform,"[19.2834679, 47.4714323]"
5546,Point,platform,"[19.2826844, 47.4715882]"
5547,Point,stop,"[19.0081716, 47.4985533]"
5548,Point,platform,"[19.0286604, 47.5502818]"
5549,Point,platform,"[18.9896647, 47.6091152]"
5550,Point,platform,"[19.0027213, 47.6020696]"
5551,Point,platform,"[19.002255, 47.6023534]"
5552,Point,platform,"[18.9912161, 47.6073497]"
5553,Point,platform,"[18.9909588, 47.6078762]"
5554,Point,platform,"[18.994178, 47.6045632]"
5555,Point,platform,"[18.9936424, 47.6048894]"
5556,Point,platform,"[19.0063595, 47.5866085]"
5557,Point,platform,"[19.0062962, 47.5867194]"
5558,Point,platform,"[19.0128053, 47.5949832]"
5559,Point,platform,"[19.0127266, 47.5953875]"
5560,Point,platform,"[19.0079312, 47.5999833]"
5561,Point,platform,"[19.007203, 47.6004359]"
5562,Point,platform,"[19.0125997, 47.5989321]"
5563,Point,platform,"[19.0126158, 47.5990089]"
5564,Point,platform,"[19.0099794, 47.5899553]"
5565,Point,platform,"[19.0102139, 47.5905024]"
5566,Point,bus_stop,"[18.9009618, 47.6133464]"
5567,Point,platform,"[18.9323846, 47.6120773]"
5568,Point,platform,"[18.9313324, 47.6128043]"
5569,Point,platform,"[18.9560552, 47.6022501]"
5570,Point,stop,"[19.0383335, 47.3381082]"
5571,Point,stop,"[19.0447544, 47.3481283]"
5572,Point,stop,"[19.0450086, 47.3423637]"
5573,Point,stop,"[19.044772, 47.3485811]"
5574,Point,stop,"[19.0394518, 47.3380068]"
5575,Point,stop_position,"[19.0883016, 47.5657544]"
5576,Point,stop_position,"[19.0887902, 47.5660086]"
5577,Point,stop_position,"[19.0716286, 47.5191892]"
5578,Point,stop_position,"[19.2955524, 47.4567491]"
5579,Point,stop_position,"[19.2543855, 47.4101109]"
5580,Point,stop_position,"[19.2720163, 47.4032226]"
5581,Point,stop_position,"[19.2553812, 47.4091396]"
5582,Point,stop_position,"[19.2547592, 47.4095603]"
5583,Point,stop_position,"[19.2550076, 47.4096903]"
5584,Point,stop_position,"[18.9979972, 47.5073364]"
5585,Point,stop_position,"[18.9897685, 47.5031275]"
5586,Point,stop_position,"[18.9838518, 47.4961947]"
5587,Point,stop_position,"[19.0029502, 47.5066724]"
5588,Point,stop_position,"[18.9897224, 47.4979099]"
5589,Point,stop_position,"[19.0084052, 47.5082468]"
5590,Point,stop_position,"[18.9893459, 47.5001084]"
5591,Point,platform,"[19.0295513, 47.5483993]"
5592,Point,platform,"[18.9986199, 47.494551]"
5593,Point,stop,"[19.0408842, 47.3416786]"
5594,Point,stop,"[19.0422682, 47.3448173]"
5595,Point,platform,"[19.0054974, 47.4456248]"
5596,Point,stop_position,"[18.9996833, 47.5159702]"
5597,Point,stop_position,"[19.0521034, 47.4917743]"
5598,Point,bus_stop,"[19.0538402, 47.5978344]"
5599,Point,platform,"[19.2375842, 47.4983123]"
5600,Point,bus_stop,"[19.0285474, 47.4707693]"
5601,Point,bus_stop,"[19.0291228, 47.4707866]"
5602,Point,bus_stop,"[19.115421, 47.465636]"
5603,Point,platform,"[19.0064653, 47.5403367]"
5604,Point,stop,"[19.057203, 47.4870796]"
5605,Point,stop_position,"[19.14818, 47.4636368]"
5606,Point,stop,"[19.0540499, 47.5954966]"
5607,Point,stop,"[19.0542087, 47.5955509]"
5608,Point,stop_position,"[19.112658, 47.5996588]"
5609,Point,platform,"[19.1143197, 47.4585865]"
5610,Point,stop_position,"[19.1192751, 47.5011229]"
5611,Point,stop_position,"[19.1205031, 47.5012356]"
5612,Point,bus_stop,"[19.0248983, 47.4691784]"
5613,Point,bus_stop,"[19.0259013, 47.4693863]"
5614,Point,platform,"[19.1231389, 47.4664224]"
5615,Point,platform,"[19.1231897, 47.4667721]"
5616,Point,bus_stop,"[19.033031, 47.472726]"
5617,Point,stop_position,"[19.099676, 47.504722]"
5618,Point,stop_position,"[19.1070138, 47.5931189]"
5619,Point,stop_position,"[19.1143521, 47.3999421]"
5620,Point,stop_position,"[19.134854, 47.4411239]"
5621,Point,stop_position,"[19.1269272, 47.4462338]"
5622,Point,stop_position,"[19.0601013, 47.6039953]"
5623,Point,stop_position,"[19.0976425, 47.4339424]"
5624,Point,stop_position,"[19.0902687, 47.54899]"
5625,Point,stop_position,"[19.0595625, 47.5116431]"
5626,Point,stop_position,"[19.0393755, 47.5071526]"
5627,Point,stop_position,"[19.0572111, 47.5104197]"
5628,Point,stop_position,"[19.0570509, 47.5105506]"
5629,Point,stop_position,"[19.0578937, 47.5108689]"
5630,Point,stop_position,"[19.057742, 47.5109941]"
5631,Point,stop_position,"[19.0592173, 47.5112391]"
5632,Point,stop_position,"[19.0591149, 47.511319]"
5633,Point,stop_position,"[19.0586587, 47.5116749]"
5634,Point,stop_position,"[19.0585245, 47.5117706]"
5635,Point,stop_position,"[19.0583692, 47.5118814]"
5636,Point,stop_position,"[19.0582313, 47.5119798]"
5637,Point,stop_position,"[19.0591675, 47.5120228]"
5638,Point,stop_position,"[19.0581002, 47.5120733]"
5639,Point,stop_position,"[19.0590194, 47.5121221]"
5640,Point,stop_position,"[19.0588705, 47.5122221]"
5641,Point,stop_position,"[19.0587334, 47.5123141]"
5642,Point,stop_position,"[19.0235418, 47.4873345]"
5643,Point,stop_position,"[19.0439758, 47.4673877]"
5644,Point,stop_position,"[18.8990671, 47.3220846]"
5645,Point,stop_position,"[18.8989177, 47.322793]"
5646,Point,stop_position,"[18.9009518, 47.3691442]"
5647,Point,stop_position,"[18.9007104, 47.3698695]"
5648,Point,stop_position,"[18.9007713, 47.3701636]"
5649,Point,platform,"[19.2014362, 47.4132361]"
5650,Point,stop_position,"[19.0718959, 47.495885]"
5651,Point,stop,"[19.0141587, 47.4053044]"
5652,Point,platform,"[19.1629182, 47.4654271]"
5653,Point,platform,"[19.1650713, 47.4663177]"
5654,Point,platform,"[19.1775892, 47.4332945]"
5655,Point,bus_stop,"[19.1161791, 47.4684654]"
5656,Point,bus_stop,"[18.9282336, 47.5974022]"
5657,Point,platform,"[19.1556449, 47.419642]"
5658,Point,platform,"[19.0781509, 47.562363]"
5659,Point,stop_position,"[19.1286116, 47.6071683]"
5660,Point,stop_position,"[19.1292644, 47.608358]"
5661,Point,stop_position,"[19.1363567, 47.6263237]"
5662,Point,bus_stop,"[19.1368176, 47.5055822]"
5663,Point,bus_stop,"[18.9315801, 47.4240952]"
5664,Point,stop_position,"[19.0622616, 47.4948429]"
5665,Point,stop_position,"[19.0703926, 47.4969413]"
5666,Point,stop_position,"[19.0829638, 47.499554]"
5667,Point,stop_position,"[19.1067047, 47.5002625]"
5668,Point,stop_position,"[19.0269907, 47.507979]"
5669,Point,stop_position,"[19.0458124, 47.5055641]"
5670,Point,stop,"[19.0229894, 47.4646841]"
5671,Point,platform,"[19.023024, 47.4647657]"
5672,Point,bus_stop,"[19.0036018, 47.5291563]"
5673,Point,bus_stop,"[19.1735856, 47.5935763]"
5674,Point,bus_stop,"[19.1740851, 47.5941105]"
5675,Point,bus_stop,"[18.9165076, 47.5021555]"
