ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
16839,Point,recycling," 18.9148866, 47.3707523 ",Recycling,47.3707523,18.9148866
16840,Point,recycling," 18.9149144, 47.3707563 ",Recycling,47.3707563,18.9149144
16841,Point,recycling," 18.9249219, 47.3766065 ",Recycling,47.3766065,18.9249219
16842,Point,recycling," 18.9249418, 47.376581 ",Recycling,47.376581,18.9249418
16843,Point,recycling," 18.9249683, 47.3765549 ",Recycling,47.3765549,18.9249683
16844,Point,recycling," 18.927008, 47.3782593 ",Recycling,47.3782593,18.927008
16845,Point,recycling," 18.9270666, 47.3782651 ",Recycling,47.3782651,18.9270666
16846,Point,recycling," 18.9270388, 47.3782602 ",Recycling,47.3782602,18.9270388
16847,Point,recycling," 18.9218334, 47.376766 ",Recycling,47.376766,18.9218334
16848,Point,recycling," 18.9218071, 47.3767551 ",Recycling,47.3767551,18.9218071
16849,Point,recycling," 18.921781, 47.3767489 ",Recycling,47.3767489,18.921781
16850,Point,recycling," 18.9217608, 47.3767374 ",Recycling,47.3767374,18.9217608
16851,Point,recycling," 18.9325228, 47.3789534 ",Recycling,47.3789534,18.9325228
16852,Point,recycling," 18.9325256, 47.3789347 ",Recycling,47.3789347,18.9325256
16853,Point,recycling," 18.9325293, 47.3789185 ",Recycling,47.3789185,18.9325293
16854,Point,recycling," 18.9403497, 47.3792668 ",Recycling,47.3792668,18.9403497
16855,Point,recycling," 18.9374664, 47.3896199 ",Recycling,47.3896199,18.9374664
16856,Point,recycling," 18.9422867, 47.3936055 ",Recycling,47.3936055,18.9422867
16857,Point,recycling," 18.9422684, 47.3935934 ",Recycling,47.3935934,18.9422684
16858,Point,recycling," 18.9422396, 47.3935768 ",Recycling,47.3935768,18.9422396
16859,Point,recycling," 19.1187549, 47.5044164 ",Recycling,47.5044164,19.1187549
16860,Point,recycling," 18.9275216, 47.3909074 ",Recycling,47.3909074,18.9275216
16861,Point,recycling," 18.9274889, 47.3909012 ",Recycling,47.3909012,18.9274889
16862,Point,recycling," 18.9274507, 47.3908889 ",Recycling,47.3908889,18.9274507
16863,Point,recycling," 18.9166604, 47.3789949 ",Recycling,47.3789949,18.9166604
16864,Point,recycling," 18.9166693, 47.3789766 ",Recycling,47.3789766,18.9166693
16865,Point,recycling," 18.9166768, 47.3789563 ",Recycling,47.3789563,18.9166768
16866,Point,recycling," 18.9068247, 47.3821797 ",Recycling,47.3821797,18.9068247
16867,Point,recycling," 18.9068457, 47.3821493 ",Recycling,47.3821493,18.9068457
16868,Point,recycling," 18.8978672, 47.3950672 ",Recycling,47.3950672,18.8978672
16869,Point,recycling," 18.8978933, 47.3950489 ",Recycling,47.3950489,18.8978933
16870,Point,recycling," 18.8979167, 47.3950273 ",Recycling,47.3950273,18.8979167
16871,Point,recycling," 18.8915215, 47.4070991 ",Recycling,47.4070991,18.8915215
16872,Point,recycling," 18.8915346, 47.407084 ",Recycling,47.407084,18.8915346
16873,Point,recycling," 18.8915515, 47.4070717 ",Recycling,47.4070717,18.8915515
16874,Point,recycling," 18.8855364, 47.4208734 ",Recycling,47.4208734,18.8855364
16875,Point,recycling," 18.8855698, 47.4209147 ",Recycling,47.4209147,18.8855698
16876,Point,recycling," 18.8946381, 47.4175254 ",Recycling,47.4175254,18.8946381
16877,Point,recycling," 18.8946181, 47.4175082 ",Recycling,47.4175082,18.8946181
16878,Point,recycling," 18.9055182, 47.4040267 ",Recycling,47.4040267,18.9055182
16879,Point,recycling," 18.90554, 47.4040144 ",Recycling,47.4040144,18.90554
16880,Point,recycling," 18.9055655, 47.4039996 ",Recycling,47.4039996,18.9055655
16881,Point,recycling," 18.9101347, 47.4122899 ",Recycling,47.4122899,18.9101347
16882,Point,recycling," 18.9101602, 47.4122702 ",Recycling,47.4122702,18.9101602
16883,Point,recycling," 18.910182, 47.412253 ",Recycling,47.412253,18.910182
16884,Point,recycling," 18.9051562, 47.3964824 ",Recycling,47.3964824,18.9051562
16885,Point,recycling," 18.9051802, 47.3964663 ",Recycling,47.3964663,18.9051802
16886,Point,recycling," 18.905205, 47.3964524 ",Recycling,47.3964524,18.905205
16887,Point,recycling," 18.8939463, 47.3771976 ",Recycling,47.3771976,18.8939463
16888,Point,recycling," 18.8939669, 47.3771867 ",Recycling,47.3771867,18.8939669
