ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
2720,Point,hairdresser,"   19.0547932, 47.5171656  ",Beauty,19.0547932,47.5171656
2722,Point,hairdresser,"   19.0539994, 47.5164515  ",Beauty,19.0539994,47.5164515
2725,Point,hairdresser,"   19.0557474, 47.5146534  ",Beauty,19.0557474,47.5146534
2731,Point,hairdresser,"   19.0530375, 47.5167779  ",Beauty,19.0530375,47.5167779
2740,Point,beauty,"   19.0540716, 47.5174019  ",Beauty,19.0540716,47.5174019
2746,Point,hairdresser,"   19.0347761, 47.46312  ",Beauty,19.0347761,47.46312
2747,Point,hairdresser,"   19.0364096, 47.4629025  ",Beauty,19.0364096,47.4629025
2757,Point,hairdresser,"   19.0653602, 47.5301384  ",Beauty,19.0653602,47.5301384
2760,Point,hairdresser,"   19.0618108, 47.5289374  ",Beauty,19.0618108,47.5289374
2768,Point,beauty,"   19.065854, 47.5283481  ",Beauty,19.065854,47.5283481
2772,Point,hairdresser,"   19.0665637, 47.5282012  ",Beauty,19.0665637,47.5282012
2773,Point,beauty,"   19.0660316, 47.5299371  ",Beauty,19.0660316,47.5299371
2774,Point,hairdresser,"   19.0654712, 47.5287996  ",Beauty,19.0654712,47.5287996
2776,Point,beauty,"   19.0664461, 47.5282255  ",Beauty,19.0664461,47.5282255
2790,Point,hairdresser,"   19.0674141, 47.5297803  ",Beauty,19.0674141,47.5297803
2791,Point,hairdresser,"   19.0677937, 47.5300585  ",Beauty,19.0677937,47.5300585
2801,Point,hairdresser,"   19.0515307, 47.5175433  ",Beauty,19.0515307,47.5175433
2804,Point,hairdresser,"   19.0527053, 47.5162667  ",Beauty,19.0527053,47.5162667
2805,Point,hairdresser,"   19.0525367, 47.5165223  ",Beauty,19.0525367,47.5165223
2806,Point,beauty,"   19.0515701, 47.5173893  ",Beauty,19.0515701,47.5173893
2807,Point,hairdresser,"   19.0518414, 47.5172996  ",Beauty,19.0518414,47.5172996
2808,Point,hairdresser,"   19.0523316, 47.5165978  ",Beauty,19.0523316,47.5165978
2813,Point,hairdresser,"   19.0513515, 47.5177474  ",Beauty,19.0513515,47.5177474
2816,Point,hairdresser,"   19.0568671, 47.5161416  ",Beauty,19.0568671,47.5161416
2818,Point,hairdresser,"   19.0523161, 47.5167837  ",Beauty,19.0523161,47.5167837
2820,Point,hairdresser,"   19.0520613, 47.5172325  ",Beauty,19.0520613,47.5172325
2830,Point,hairdresser,"   19.0508294, 47.5999472  ",Beauty,19.0508294,47.5999472
2835,Point,hairdresser,"   19.0498881, 47.5983249  ",Beauty,19.0498881,47.5983249
2836,Point,chemist,"   19.0514193, 47.5982488  ",Beauty,19.0514193,47.5982488
2857,Point,hairdresser,"   19.0531601, 47.6013088  ",Beauty,19.0531601,47.6013088
2873,Point,hairdresser,"   19.0499737, 47.5163561  ",Beauty,19.0499737,47.5163561
2881,Point,hairdresser,"   19.0538607, 47.5123973  ",Beauty,19.0538607,47.5123973
2882,Point,chemist,"   19.0541904, 47.5124084  ",Beauty,19.0541904,47.5124084
2893,Point,hairdresser,"   19.0551528, 47.5142324  ",Beauty,19.0551528,47.5142324
2897,Point,hairdresser,"   19.032915, 47.5114199  ",Beauty,19.032915,47.5114199
2902,Point,hairdresser,"   19.054099, 47.5201887  ",Beauty,19.054099,47.5201887
2905,Point,chemist,"   19.06859, 47.5090315  ",Beauty,19.06859,47.5090315
2922,Point,hairdresser,"   19.2934337, 47.4700629  ",Beauty,19.2934337,47.4700629
2927,Point,beauty,"   19.0515588, 47.5168305  ",Beauty,19.0515588,47.5168305
2934,Point,hairdresser,"   19.0511495, 47.517453  ",Beauty,19.0511495,47.517453
2938,Point,beauty,"   19.0493966, 47.5155681  ",Beauty,19.0493966,47.5155681
2939,Point,perfumery,"   19.0506672, 47.5167818  ",Beauty,19.0506672,47.5167818
2971,Point,chemist,"   19.0375006, 47.5147877  ",Beauty,19.0375006,47.5147877
2999,Point,hairdresser,"   19.08118, 47.53284  ",Beauty,19.08118,47.53284
3061,Point,beauty,"   19.0601295, 47.5276844  ",Beauty,19.0601295,47.5276844
3074,Point,beauty,"   19.0554876, 47.515762  ",Beauty,19.0554876,47.515762
3077,Point,beauty,"   19.0557008, 47.5183494  ",Beauty,19.0557008,47.5183494
3078,Point,beauty,"   19.0532934, 47.5171479  ",Beauty,19.0532934,47.5171479
3086,Point,hairdresser,"   19.0583593, 47.5160235  ",Beauty,19.0583593,47.5160235
3120,Point,hairdresser,"   19.0514319, 47.5145082  ",Beauty,19.0514319,47.5145082
3129,Point,chemist,"   19.0560243, 47.5114041  ",Beauty,19.0560243,47.5114041
3137,Point,chemist,"   19.0455213, 47.4769686  ",Beauty,19.0455213,47.4769686
3143,Point,chemist,"   19.0428848, 47.4760159  ",Beauty,19.0428848,47.4760159
3156,Point,hairdresser,"   19.023757, 47.5004172  ",Beauty,19.023757,47.5004172
3166,Point,hairdresser,"   19.048954, 47.4775032  ",Beauty,19.048954,47.4775032
3169,Point,hairdresser,"   19.0741826, 47.4827566  ",Beauty,19.0741826,47.4827566
3172,Point,chemist,"   19.0675783, 47.481344  ",Beauty,19.0675783,47.481344
3179,Point,chemist,"   19.0730945, 47.4791595  ",Beauty,19.0730945,47.4791595
3185,Point,hairdresser,"   19.0552802, 47.5152508  ",Beauty,19.0552802,47.5152508
3187,Point,chemist,"   19.0543461, 47.5150468  ",Beauty,19.0543461,47.5150468
3188,Point,beauty,"   19.055797, 47.5151872  ",Beauty,19.055797,47.5151872
3189,Point,hairdresser,"   19.0542975, 47.5149787  ",Beauty,19.0542975,47.5149787
3191,Point,cosmetics,"   19.055055, 47.5153251  ",Beauty,19.055055,47.5153251
3192,Point,beauty,"   19.0551475, 47.5152968  ",Beauty,19.0551475,47.5152968
3193,Point,hairdresser,"   19.0547827, 47.5155079  ",Beauty,19.0547827,47.5155079
3198,Point,hairdresser,"   19.0547284, 47.5155941  ",Beauty,19.0547284,47.5155941
3208,Point,hairdresser,"   19.0553923, 47.5238837  ",Beauty,19.0553923,47.5238837
3247,Point,hairdresser,"   19.053076, 47.5172525  ",Beauty,19.053076,47.5172525
3249,Point,hairdresser,"   19.0585022, 47.5244612  ",Beauty,19.0585022,47.5244612
3250,Point,hairdresser,"   19.0580946, 47.5255449  ",Beauty,19.0580946,47.5255449
3252,Point,hairdresser,"   19.0580812, 47.5253734  ",Beauty,19.0580812,47.5253734
3253,Point,beauty,"   19.0522333, 47.5206701  ",Beauty,19.0522333,47.5206701
3255,Point,beauty,"   19.0549431, 47.5202495  ",Beauty,19.0549431,47.5202495
3261,Point,hairdresser,"   19.0524744, 47.4810368  ",Beauty,19.0524744,47.4810368
3264,Point,chemist,"   19.0495096, 47.4783889  ",Beauty,19.0495096,47.4783889
3289,Point,chemist,"   19.0385514, 47.4558553  ",Beauty,19.0385514,47.4558553
